,l_1,l_2,l_3,l_4,l_5,l_6,p_1,p_2,p_3,p_4,p_5,p_6,brows_class
0,142.43140797117252,147.81331654132504,151.24808993443816,156.52900688183914,148.7994853960194,153.56225080685812,148.21778800623787,146.02307544545957,140.32887319640608,155.04524942542105,147.52880770915152,153.09945362309637,round
1,125.42840434624335,134.0245701926736,140.6583040536699,144.9484053186078,133.88185465388517,141.00218868350527,140.80769485409826,135.14288194698733,130.76576537661393,151.61664585847018,139.7878579950801,142.51842687944216,round
2,135.66814206832873,142.09963053775255,144.14516149171075,151.96883212874846,143.92533869236183,150.41945332273386,149.13837487403876,145.71927525937355,139.33169522713266,154.29198404783185,146.51270547906165,152.3587457782672,round
3,142.77913719091435,143.56088957116464,146.12305844810518,160.37156175309596,150.8442783716436,150.6859059200664,140.19442890773482,134.82038999425293,111.16125981682828,124.89070150750484,120.29644817623846,145.40771131249008,round
4,129.032175928482,130.83638737994676,138.8495426805374,153.22884978553788,138.32740424172655,137.27330798080206,140.66728567823915,144.01353937949673,140.02480772571047,156.61118515369773,150.39554925399509,156.24284598494103,round
5,120.61536194559481,130.92486863066506,140.9061411137705,140.71059313749964,128.61583606048754,136.1313674306825,140.9094045289013,134.72387789905451,131.8902135854786,153.87909325603397,140.76004084518271,141.65109602506368,round
6,127.76163903235987,132.44958648566964,134.7854100688706,149.61317604705323,138.51178052121102,142.99562049875985,134.53205100108102,131.28046057093374,127.82630415600323,151.29929504366243,138.8199797893878,141.49717912488882,round
7,128.46336635120292,136.053916632817,141.31618848819681,147.33908727832622,136.7357045889284,143.39666833780015,145.8790732698829,142.1250163489018,136.99904114756075,153.84979436163303,144.6843388209321,149.014248927927,round
8,141.4885911255455,144.16234704572173,146.3546249606759,159.0389342654584,149.6973192795119,151.92751306414704,149.38270868433398,143.67858927205086,140.90213945296452,158.80119380616543,148.0998430822663,149.0755409785772,round
9,134.30972280213493,138.27220489073449,141.43678131537317,153.38482129458046,143.07485089634204,146.41731399664604,127.23483398157467,124.36885223989246,117.37770277133174,143.0758963348383,130.19730188757057,137.10753366061152,round
10,121.14858098619503,128.81138403675843,137.69065712202226,144.09027692082233,130.42607874009914,135.6902771978651,137.44119892583993,130.74666748454496,125.47476919024157,148.3245312618908,134.7540968767293,138.27048792318357,round
11,130.30784891623503,134.25646984645604,134.95787075795053,151.2323506611562,140.71156634728186,144.91786560540157,134.47319087870864,135.8990491412461,133.85121015182483,155.5051741695089,145.2556203521031,148.10584762552088,round
12,131.19695595899796,138.95710554030333,145.443511531505,148.52771439969436,138.42685463232743,144.76316757907517,146.1125217732883,138.1658506147436,129.41275603579564,147.0305960965379,136.49758773901752,143.2432072429367,round
13,120.73793482770128,133.7981669355479,140.47354697193,139.11646241872467,129.16238992081114,141.22094992115962,143.90766544146965,139.30150409496935,134.8279411192721,153.2628899421941,142.9077987220461,146.1752247766622,round
14,133.05883279318158,137.22554066625997,136.78991060824606,153.052519080733,143.67317404787977,148.5491769858723,137.40794232356228,137.75478518871603,131.55112383714567,150.6569527657957,141.8260195613773,148.95316603047888,round
15,119.50563337617629,131.4813885346628,138.97153131661966,139.62657070937152,128.80669803206507,139.7319865671442,147.50880319818867,143.68906783498815,142.6794706836969,160.78187689321445,150.4935516983599,150.15088149935718,round
16,120.73793482770128,133.7981669355479,140.47354697193,139.11646241872467,129.16238992081114,141.22094992115962,143.90766544146965,139.30150409496935,134.8279411192721,153.2628899421941,142.9077987220461,146.1752247766622,round
17,124.60439315080247,132.80735259237116,137.16150837774373,144.7033736809019,134.4016550524818,141.95637744814468,139.00502230095606,137.24355739068946,134.38394009160078,155.01876039378396,144.6244359454225,147.16451828386113,round
18,125.00359178136793,129.72194204100566,132.11287428744677,148.25353281060578,136.2577890788894,140.71059313749967,129.6106882400266,127.96499199835615,124.18271388316573,148.40443244044909,136.17882017296856,139.8211234942731,round
19,146.82148834060726,146.63363399894044,146.0803764910281,163.92642583525364,155.38698627494966,155.37979626149564,138.9867595749666,137.03469610528194,130.33812690476117,148.86102756302114,139.67416371113077,146.53982959762902,round
20,147.12838793570882,147.14427804956702,146.97613244420336,163.96005669395035,156.02872467684585,156.1169046644634,141.0958615445958,138.42304906924034,134.11229376180145,153.9581834051062,143.91892861795384,147.7429965413463,round
21,133.51213247117224,139.6743530266684,145.29990875848117,151.53938324751138,141.39331327515518,146.17704632141712,144.51492573668386,134.52789903367278,127.77216553959273,147.7552720614927,134.90612387508023,138.73206561596126,round
22,134.80220177710737,146.27222548406212,152.24145939893995,146.90830006131756,140.00797189204027,150.53444293776806,150.8935512335069,146.75846876251993,142.78431727684577,157.31347332576973,149.15207035767588,151.9581798477555,round
23,139.0184778801562,137.33730585912383,137.5835284883902,161.08187585319226,149.51974067881673,147.52880770915152,117.00502718374275,105.96243807160204,98.83261548559948,136.0095127826164,115.2205180018514,118.69330686140844,round
24,137.1697552210678,138.0805307747207,143.71278359128445,158.1228358911806,145.21144797789555,144.29976046351186,130.81693230471328,127.91152432185402,120.88494533072863,144.46232220802563,133.05851360908562,139.86451443776053,round
25,127.4428476435631,138.77667758322517,144.90157209419007,143.1982710067177,134.52294375116827,145.07540113859258,147.62088319532842,139.47940358263864,133.35297133874124,151.001022853846,139.94436294841125,143.65698015905375,round
26,139.37911203114166,143.79672439326177,144.83407616019247,155.67504365951515,147.61778610830194,152.2053039937447,146.0769609488806,142.88968419568118,132.6537420750459,147.49315383726756,140.37715145538664,150.7124773302171,round
27,145.060689795323,144.8980754790618,139.7636416907262,162.45558743043856,155.5175141026529,157.28069377848095,143.0899159469193,148.71441636941543,145.72109627343718,160.30323363819187,155.33833767284628,160.73099069061948,round
28,139.37911203114166,143.79672439326177,144.83407616019247,155.67504365951515,147.61778610830194,152.2053039937447,146.0769609488806,142.88968419568118,132.6537420750459,147.49315383726756,140.37715145538664,150.7124773302171,round
29,139.29516333357105,143.64985780682568,145.75096699318806,155.39487608204837,147.2647737278924,151.32825707926048,141.15249621476588,135.8425242607404,124.94451914866133,142.59464336859145,132.9347502901491,143.2285674120077,round
30,132.19628556840019,136.71177817905257,142.55365508160392,152.4027041313563,140.65707070606834,143.60786237370613,142.1250163489018,131.82016988013578,123.93748761455363,144.6281561284867,131.63353933657018,136.21887523513132,round
31,124.77363686943599,141.8175806635973,151.20599868899427,137.39008869035794,129.75185631470845,145.36259351132216,152.11174841279794,147.40656081043065,146.77364718315187,163.3007557660064,153.43494882292202,152.31530414239288,round
32,128.10574363046558,132.25232592747406,136.48145717088707,150.61832004733293,138.56522192759732,141.53147322895623,136.48446691674496,133.03495418521862,128.7408944453902,150.3251624084006,138.73565912661766,142.25770127868896,round
33,140.04850514559735,143.28285284594457,148.49091938589896,156.909883002176,146.9544828024931,148.52685326117677,144.02170688801203,137.51252176402915,128.01715650945516,145.00797980144134,135.3704416885104,143.54391891079902,round
34,124.50852298766841,130.81826980567863,136.8268042151967,146.76393073379023,134.52136446132366,139.3809663016751,144.94629733196967,141.604835496754,142.10862895888823,161.62161165180805,150.59717899441634,148.69782514160562,round
35,128.71750791183865,128.34434665648976,136.23087480799327,155.5209590148369,139.18491612511843,135.592183352129,132.700200578208,126.53420744501605,121.43350022405585,146.44104386876742,132.4878778382885,135.76616831987474,round
36,145.42816678449248,143.87141118360626,147.7778781168537,164.83326654038996,153.57712168127898,150.28160773469483,144.77081338981392,137.01190498785317,121.65987865621956,136.18730731572882,128.453709216706,143.44882558870844,round
37,119.78507564103428,130.0929350351997,135.1734784783245,140.10040103122583,129.10302262683268,138.85452842571823,138.90697085056047,142.211063973154,140.9254876942012,159.37066083135306,151.53129208670637,154.28274708387048,round
38,124.2751874070491,131.791057817174,139.6268343588599,146.02345596374312,133.51213247117224,138.86220905386517,140.7920269111103,136.0517200028113,133.27150642504483,154.11633330325594,142.31670523610651,143.61876170449216,round
39,133.42344994481627,139.24205289636225,143.9726266148964,151.49346243200762,141.49541774049155,146.21967138719398,139.06184037122355,134.27842883658445,124.48395361545522,142.72182580013097,133.24914581345715,142.42720647675216,round
40,100.67316634691394,111.47434839184893,123.6900675259798,129.27315274108872,112.84551174801172,119.95867052681935,136.51364057383034,131.58448474280866,128.71750791183865,151.55707137563664,138.86546116985176,140.08925090836894,round
41,124.00174376173055,141.2296384342663,150.82196496523346,137.95077910900636,129.22120439950902,145.060689795323,149.18849053080183,143.73519726278224,143.87773995665796,162.10700078580354,151.00740429609985,148.66814389145964,round
42,136.67919989372302,147.93200532135995,149.17388879891686,148.07912378006682,143.53076560994813,155.74729886812685,144.4708853195316,143.966447007024,140.04631639868762,156.26881411704153,148.64440187721385,152.91145505705035,round
43,129.88268515002736,136.49522987414844,141.66322962212064,149.34933204294714,138.90049374238188,144.33933237650933,142.62752068743495,135.10286484372403,130.1129901650785,150.80251395393555,138.1221304621157,141.00900595749454,round
44,132.42506455748483,139.0235238427416,145.1822378428377,149.92963320767035,139.7624831938601,144.89102991212297,145.9967848936583,136.13167402730036,122.3118902559788,138.73139699916047,128.86559005607606,140.69292016473716,round
45,131.35129640029933,139.4556028333263,145.83353730369015,148.18296515854084,138.6629432927667,145.36174394709684,147.99461679191654,146.05271409196973,145.9700702445221,162.47443162627715,153.50180501138075,152.8188889145228,round
46,131.34777721969368,141.63836191878326,144.74364128703718,145.61965527615513,138.57633437499737,149.01609018718423,141.84277341263095,135.03853111693059,127.36456704680946,146.67878432806043,135.78482460299188,141.84908421550367,round
